	AveExpr	Coef	t	P.value	F	F.p.value	Results	Genes.ENSEMBL	Genes.SYMBOL	Genes.TXCHROM
ENSMUSG00000000148	3.74850560828981	0.190780161639537	0.6607723932165	0.522477521121517	0.436620155637061	0.522477521121517	0	ENSMUSG00000000148	Brat1	chr5
ENSMUSG00000000149	3.76659236115976	0.0328063634406863	0.113874754724556	0.911407325707636	0.0129674597635777	0.911407325707636	0	ENSMUSG00000000149	Gna12	chr5
ENSMUSG00000000154	7.9595579033294	-0.108064625294537	-0.743831311715064	0.472707491394714	0.553285020287753	0.472707491394714	0	ENSMUSG00000000154	Slc22a18	chr7
ENSMUSG00000000159	-2.55327654910571	0.197968570307559	0.111776996321839	0.913031875766882	0.0124940969067324	0.913031875766882	0	ENSMUSG00000000159	Igsf5	chr16
ENSMUSG00000000167	2.55836898333932	0.347791668286366	0.773808724471493	0.455498294813034	0.598779942068199	0.455498294813034	0	ENSMUSG00000000167	Pih1d2	chr9
ENSMUSG00000000168	3.22663124519995	0.0752778834868479	0.186429136872885	0.855532357113628	0.034755823075169	0.855532357113628	0	ENSMUSG00000000168	Dlat	chr9
ENSMUSG00000000171	-3.23488508744772	-1.84621391379787	-1.03502535439012	0.3230729693132	1.07127748423039	0.3230729693132	0	ENSMUSG00000000171	Sdhd	chr9
ENSMUSG00000000182	-2.47681231666504	-0.974152139068299	-0.635571610665692	0.538169396212983	0.403951272284182	0.538169396212983	0	ENSMUSG00000000182	Fgf23	chr6
ENSMUSG00000000184	7.69304122825881	-0.268248919118141	-1.50589450762843	0.160509774619544	2.26771826810548	0.160509774619544	0	ENSMUSG00000000184	Ccnd2	chr6
ENSMUSG00000000194	8.62207810599746	-0.0448256222647405	-0.31950778291787	0.755381120509046	0.102085223345093	0.755381120509046	0	ENSMUSG00000000194	Gpr107	chr2
ENSMUSG00000000197	3.25092327764048	0.221786796924168	0.508132571679617	0.621484999261961	0.258198710401742	0.621484999261961	0	ENSMUSG00000000197	Nalcn	chr14
ENSMUSG00000000202	1.43474436626913	0.551488862309694	0.891415804177771	0.391957503916368	0.794622135937903	0.391957503916368	0	ENSMUSG00000000202	Btbd17	chr11
ENSMUSG00000000204	6.68111487071279	0.0926337926749703	0.475906650889024	0.643535728533142	0.226487140360408	0.643535728533142	0	ENSMUSG00000000204	Slfn4	chr11
ENSMUSG00000000214	9.07196902307301	-0.248460727073748	-1.27213206108897	0.229793733631707	1.61831998085046	0.229793733631707	0	ENSMUSG00000000214	Th	chr7
ENSMUSG00000000244	-2.28603805116605	0.774592643192326	0.44239111759535	0.666855428461377	0.195709900927263	0.666855428461377	0	ENSMUSG00000000244	Tspan32	chr7
ENSMUSG00000000247	5.17617600237696	0.245881708719413	1.15407530201562	0.273144111937947	1.33188980272246	0.273144111937947	0	ENSMUSG00000000247	Lhx2	chr2
ENSMUSG00000000248	4.81382152756077	-0.570840231609236	-1.85620663410735	0.0906354060918066	3.44550306850414	0.0906354060918066	0	ENSMUSG00000000248	Clec2g	chr6
ENSMUSG00000000253	4.85694489460731	0.0767274431853835	0.187166719137124	0.854968011302929	0.035031380752555	0.854968011302929	0	ENSMUSG00000000253	Gmpr	chr13
ENSMUSG00000000263	10.7110424505088	-0.0166271878742705	-0.089814855997848	0.9300633236976	0.00806670835791418	0.9300633236976	0	ENSMUSG00000000263	Glra1	chr11
ENSMUSG00000000266	1.2357191990359	-0.992427761806749	-1.52592072953632	0.155506309295816	2.32843407282867	0.155506309295816	0	ENSMUSG00000000266	Mid2	chrX
ENSMUSG00000000275	0.771447824638876	-0.021795291105807	-0.030191686959608	0.976459856736498	0.000911537961466961	0.976459856736498	0	ENSMUSG00000000275	Trim25	chr11
ENSMUSG00000000276	7.58500433399046	0.0518433575194077	0.374943578615609	0.714894845613807	0.140582687145079	0.714894845613807	0	ENSMUSG00000000276	Dgke	chr11
ENSMUSG00000000278	3.68562940069131	0.140726570827117	0.487525295123774	0.63554266789577	0.237680913385523	0.63554266789577	0	ENSMUSG00000000278	Scpep1	chr11
ENSMUSG00000000282	3.97978550495536	-0.0874761127028716	-0.287505775602824	0.779117102021839	0.0826595710049814	0.779117102021839	0	ENSMUSG00000000282	Mnt	chr11
ENSMUSG00000000290	3.93105676059339	0.0835893421208587	0.15768372425545	0.877588934958853	0.0248641568950686	0.877588934958853	0	ENSMUSG00000000290	Itgb2	chr10
ENSMUSG00000000301	2.64740795610724	0.0223385384395942	0.0574317972196355	0.955240462376226	0.00329841133187733	0.955240462376226	0	ENSMUSG00000000301	Pemt	chr11
ENSMUSG00000000303	6.13337160199423	-0.041033206894344	-0.255650330281062	0.802980563010715	0.0653570913728159	0.802980563010715	0	ENSMUSG00000000303	Cdh1	chr8
ENSMUSG00000000305	1.10992558911101	-0.458376999129055	-0.581436355671517	0.572772955235956	0.338068235696575	0.572772955235956	0	ENSMUSG00000000305	Cdh4	chr2
ENSMUSG00000000308	5.50420314103388	0.126176133718231	0.664507817972756	0.520174589582173	0.441570640146914	0.520174589582173	0	ENSMUSG00000000308	Ckmt1	chr2
ENSMUSG00000000318	0.17659445880703	0.507131766658257	0.491871646097403	0.632564942166443	0.241937716234569	0.632564942166443	0	ENSMUSG00000000318	Clec10a	chr11
ENSMUSG00000000320	5.64463218767906	-0.115557945969585	-0.642589636997753	0.533772421265969	0.412921441576903	0.533772421265969	0	ENSMUSG00000000320	Alox12	chr11
ENSMUSG00000000326	4.05735218503268	-0.387377071621901	-1.35663096451217	0.202328456438245	1.84044757387322	0.202328456438245	0	ENSMUSG00000000326	Comt	chr16
ENSMUSG00000000339	4.96727387072045	-0.0572858395407403	-0.252988297802049	0.804984661913567	0.0640030788247782	0.804984661913567	0	ENSMUSG00000000339	Rtca	chr3
ENSMUSG00000000340	4.52486352333099	0.128271935517723	0.52435992112273	0.610524836294246	0.274953326879835	0.610524836294246	0	ENSMUSG00000000340	Dbt	chr3
ENSMUSG00000000346	1.61548780047708	-0.153251704657306	-0.233356141109159	0.819808961702162	0.0544550885933579	0.819808961702162	0	ENSMUSG00000000346	Dazap2	chr15
ENSMUSG00000000365	7.20332644048328	-0.0207791196030227	-0.134506261037161	0.89545357958534	0.0180919342581969	0.89545357958534	0	ENSMUSG00000000365	Rnf17	chr14
ENSMUSG00000000374	0.899360001324446	0.242361786664414	0.323257596011997	0.752616519572564	0.104495473379455	0.752616519572564	0	ENSMUSG00000000374	Trappc10	chr10
ENSMUSG00000000378	6.59817882084869	-0.171712109728651	-0.896627579888681	0.389289895565331	0.803941017017033	0.389289895565331	0	ENSMUSG00000000378	Ccm2	chr11
ENSMUSG00000000381	4.09917642860418	-0.446248951695774	-1.52787153316722	0.15502620234643	2.33439142186274	0.15502620234643	0	ENSMUSG00000000381	Wap	chr11
ENSMUSG00000000384	6.46913176005232	-0.27358351720127	-1.56584662770404	0.145933305415908	2.45187566149212	0.145933305415908	0	ENSMUSG00000000384	Tbrg4	chr11
ENSMUSG00000000385	3.47223451123194	0.3159541228911	1.05361131894248	0.314854986551238	1.11009681140371	0.314854986551238	0	ENSMUSG00000000385	Tmprss2	chr16
ENSMUSG00000000392	6.4469973731856	-0.292199288294889	-1.67300695330667	0.122747228109988	2.79895226581247	0.122747228109988	0	ENSMUSG00000000392	Fap	chr2
ENSMUSG00000000399	4.60031669920508	-0.163202603698968	-0.687345735278581	0.506225577271782	0.472444159805653	0.506225577271782	0	ENSMUSG00000000399	Ndufa9	chr6
ENSMUSG00000000409	1.39636993805245	0.386870683085355	0.671939514630935	0.515610693102464	0.451502711322456	0.515610693102464	0	ENSMUSG00000000409	Lck	chr4
ENSMUSG00000000416	3.63427537505183	0.761944344856139	2.28015022828963	0.0437284690636586	5.19908506356923	0.0437284690636586	0	ENSMUSG00000000416	Cttnbp2	chr6
ENSMUSG00000000435	-1.85925781589643	-0.318532209643969	-0.185248079095894	0.856436194799138	0.0343168508087187	0.856436194799138	0	ENSMUSG00000000435	Myf5	chr10
ENSMUSG00000000439	-1.50645476193652	1.27938741359732	0.840771328616931	0.418536814735842	0.706896427024279	0.418536814735842	0	ENSMUSG00000000439	Mkrn2	chr6
ENSMUSG00000000440	5.01849114745335	-0.423356896685382	-1.73707122956938	0.110506736078736	3.01741645659766	0.110506736078736	0	ENSMUSG00000000440	Pparg	chr6
ENSMUSG00000000441	6.19200807783103	-0.262601217875152	-1.60073313399546	0.137993976466382	2.56234656627092	0.137993976466382	0	ENSMUSG00000000441	Raf1	chr6
ENSMUSG00000000489	6.82855068836408	-0.0803092219466413	-0.492657311430752	0.632027399034035	0.242711226506177	0.632027399034035	0	ENSMUSG00000000489	Pdgfb	chr15
ENSMUSG00000000530	1.17700263092115	-0.00258191860558865	-0.00353150419992678	0.997246072589573	1.24715219141005e-05	0.997246072589573	0	ENSMUSG00000000530	Acvrl1	chr15
ENSMUSG00000000531	3.77087054659446	0.272022564323289	0.929171376505052	0.372918669953333	0.863359446916292	0.372918669953333	0	ENSMUSG00000000531	Tamalin	chr15
ENSMUSG00000000532	1.2668258025896	-0.501592565705261	-0.825664730974128	0.426695189580407	0.68172224797458	0.426695189580407	0	ENSMUSG00000000532	Acvr1b	chr15
ENSMUSG00000000538	6.5866672884676	-0.0862755125190331	-0.257985387362639	0.801223843696647	0.0665564600926508	0.801223843696647	0	ENSMUSG00000000538	Tom1l2	chr11
ENSMUSG00000000544	4.2938870621641	0.0287454741792796	0.0893365732185748	0.930434668202871	0.00798102331443777	0.930434668202871	0	ENSMUSG00000000544	Gpa33	chr1
ENSMUSG00000000552	8.92339821816906	-0.015296659365152	-0.0919133376684713	0.928434244172828	0.00844806164135843	0.928434244172828	0	ENSMUSG00000000552	Zfp385a	chr15
ENSMUSG00000000555	5.11455145249425	0.203961174490345	0.9454164464982	0.364931110945418	0.893812257309283	0.364931110945418	0	ENSMUSG00000000555	Itga5	chr15
ENSMUSG00000000562	2.49699252074015	0.246685031077916	0.52968497298068	0.606949672116534	0.280566170601544	0.606949672116534	0	ENSMUSG00000000562	Adora3	chr3
ENSMUSG00000000568	-2.17824342030028	1.031176884123	0.523207683831788	0.611299835531396	0.273746280420625	0.611299835531396	0	ENSMUSG00000000568	Hnrnpd	chr5
ENSMUSG00000000581	3.21679469789838	-0.254114666109057	-0.655789420146036	0.525558878172006	0.430059763575474	0.525558878172006	0	ENSMUSG00000000581	C1d	chr11
ENSMUSG00000000594	7.41563359242898	-0.203185408880911	-1.18828763709162	0.259964575993731	1.41202750846479	0.259964575993731	0	ENSMUSG00000000594	Gm2a	chr11
ENSMUSG00000000600	3.3489329583268	-0.240769863486742	-0.652034172100961	0.527888040246516	0.425148561587386	0.527888040246516	0	ENSMUSG00000000600	Krit1	chr5
ENSMUSG00000000605	7.00073462884687	0.133260223460394	0.921264462342617	0.376850895722143	0.848728209575431	0.376850895722143	0	ENSMUSG00000000605	Clcn4	chr7
ENSMUSG00000000617	5.94541666453226	-0.217428487323841	-0.658848311394208	0.523666071532215	0.434081097427	0.523666071532215	0	ENSMUSG00000000617	Grm6	chr11
ENSMUSG00000000627	2.6713975363081	-0.476034429919987	-1.15080725097428	0.274429933219743	1.32435732889498	0.274429933219743	0	ENSMUSG00000000627	Sema4f	chr6
ENSMUSG00000000628	6.31035956483568	0.345762577034656	1.97112322719899	0.0746264411163535	3.88532677680336	0.0746264411163535	0	ENSMUSG00000000628	Hk2	chr6
ENSMUSG00000000631	8.86479360611568	0.0413169110481224	0.309668925296526	0.762651901110213	0.0958948432943054	0.762651901110213	0	ENSMUSG00000000631	Myo18a	chr11
ENSMUSG00000000632	7.59308974233422	-0.138652346612876	-0.9305668326838	0.37222771181076	0.865954630091159	0.37222771181076	0	ENSMUSG00000000632	Sez6	chr11
ENSMUSG00000000673	0.755143926095377	0.235207054314536	0.315684133759582	0.758203849294256	0.0996564723075379	0.758203849294256	0	ENSMUSG00000000673	Haao	chr17
ENSMUSG00000000682	-0.452262773268442	-0.0887136998532122	-0.0892693652897145	0.9304868506368	0.00796901957922848	0.9304868506368	0	ENSMUSG00000000682	Cd52	chr4
ENSMUSG00000000686	3.5179710465286	0.441937790774253	1.34663713951518	0.205428105416741	1.81343158552162	0.205428105416741	0	ENSMUSG00000000686	Abhd15	chr11
ENSMUSG00000000693	1.9895248291867	0.258284577366865	0.544306815897805	0.597188096847688	0.296269909832807	0.597188096847688	0	ENSMUSG00000000693	Loxl3	chr6
ENSMUSG00000000711	7.89786978240048	-0.0895594171926888	-0.567694151557186	0.581746162355331	0.322276649712233	0.581746162355331	0	ENSMUSG00000000711	Rab5b	chr10
ENSMUSG00000000730	1.06325362924339	-0.505507216356388	-0.889666771239462	0.392855566422605	0.79150696384765	0.392855566422605	0	ENSMUSG00000000730	Dnmt3l	chr10
ENSMUSG00000000732	6.38573059279609	-0.0020551449478674	-0.0113281329364698	0.991166314293712	0.000128326595826331	0.991166314293712	0	ENSMUSG00000000732	Icosl	chr10
ENSMUSG00000000738	2.78968623964268	-0.128435304944718	-0.322189256463587	0.753403800188564	0.103805916980559	0.753403800188564	0	ENSMUSG00000000738	Spg7	chr8
ENSMUSG00000000740	3.35311380197524	0.336443432162036	0.98390165680194	0.346498138157874	0.968062470257602	0.346498138157874	0	ENSMUSG00000000740	Rpl13	chr8
ENSMUSG00000000743	4.14283193510419	-0.299186023190983	-1.01653142937398	0.331407732174571	1.0333361469051	0.331407732174571	0	ENSMUSG00000000743	Chmp1a	chr8
ENSMUSG00000000751	3.20457680806234	0.25944031687184	0.749109078596817	0.469648269595736	0.561164411636172	0.469648269595736	0	ENSMUSG00000000751	Rpa1	chr11
ENSMUSG00000000753	7.0671359649645	-0.0618198279690247	-0.361633797994809	0.724537690016975	0.13077900385215	0.724537690016975	0	ENSMUSG00000000753	Serpinf1	chr11
ENSMUSG00000000759	2.06628344655089	0.203272463494903	0.363095336032803	0.723476334344614	0.131838223048774	0.723476334344614	0	ENSMUSG00000000759	Tubgcp3	chr8
ENSMUSG00000000766	2.33248380850786	0.832974969212073	1.22160175818676	0.247619083381283	1.49231085560498	0.247619083381283	0	ENSMUSG00000000766	Oprm1	chr10
ENSMUSG00000000776	5.11954639267222	-0.343576357225999	-1.64528054660702	0.128410072666453	2.70694807704349	0.128410072666453	0	ENSMUSG00000000776	Polr3d	chr14
ENSMUSG00000000782	2.99235123582992	-0.190065420973536	-0.479839832352045	0.640824542164821	0.230246264711638	0.640824542164821	0	ENSMUSG00000000782	Tcf7	chr11
ENSMUSG00000000787	8.11438801571641	0.107650419381663	0.779142657233089	0.452478882383645	0.60706328032024	0.452478882383645	0	ENSMUSG00000000787	Ddx3x	chrX
ENSMUSG00000000791	5.60824750865284	0.0011263708190965	0.00632464752042564	0.995067956334093	4.00011662576262e-05	0.995067956334093	0	ENSMUSG00000000791	Il12rb1	chr8
ENSMUSG00000000792	6.36733909598507	0.141880254547136	0.812303643719496	0.433998597041173	0.659837209599969	0.433998597041173	0	ENSMUSG00000000792	Slc5a5	chr8
ENSMUSG00000000794	7.18770421588516	-0.0588434166679974	-0.35147429307028	0.7319320469171	0.123534178689253	0.7319320469171	0	ENSMUSG00000000794	Kcnn3	chr3
ENSMUSG00000000804	6.05556212183094	0.153736110564886	0.790986710847935	0.445820579112416	0.625659976738034	0.445820579112416	0	ENSMUSG00000000804	Usp32	chr11
ENSMUSG00000000805	6.11267712881535	-0.121600493342302	-0.744161521165357	0.472515720743634	0.553776369583139	0.472515720743634	0	ENSMUSG00000000805	Car4	chr11
ENSMUSG00000000811	2.01865606525515	0.228050860781348	0.496879755948173	0.629142262829095	0.246889491871116	0.629142262829095	0	ENSMUSG00000000811	Txnrd3	chr6
ENSMUSG00000000817	-0.68256667864623	0.830209027148579	0.644825168599694	0.53237616747995	0.415799498059624	0.53237616747995	0	ENSMUSG00000000817	Fasl	chr1
ENSMUSG00000000823	7.83699862695208	-0.0768220642965369	-0.353573750282021	0.730401642420661	0.125014396888493	0.730401642420661	0	ENSMUSG00000000823	Zfp512b	chr2
ENSMUSG00000000826	5.58970132472833	-0.190342986000953	-0.936460589339328	0.369319429853298	0.876958435385762	0.369319429853298	0	ENSMUSG00000000826	Dnajc5	chr2
ENSMUSG00000000827	-2.45177697701187	0.64102343552283	0.353620402662983	0.730367648951024	0.12504738917953	0.730367648951024	0	ENSMUSG00000000827	Tpd52l2	chr2
ENSMUSG00000000861	4.26199543733682	0.0301319133375624	0.0923992654910792	0.928057060461814	0.00853762426329093	0.928057060461814	0	ENSMUSG00000000861	Bcl11a	chr11
ENSMUSG00000000876	2.03632944955272	-0.251738502855785	-0.426296780082272	0.678187823713384	0.181728944708513	0.678187823713384	0	ENSMUSG00000000876	Pxmp4	chr2
ENSMUSG00000000884	0.386318097508864	1.04918830496979	1.04769063964765	0.317455701268241	1.09765567640529	0.317455701268241	0	ENSMUSG00000000884	Gnb1l	chr16
ENSMUSG00000000901	4.29810244167308	-0.169273652476273	-0.649230659402466	0.529630809000054	0.421500449108161	0.529630809000054	0	ENSMUSG00000000901	Mmp11	chr10
ENSMUSG00000000902	5.9561751954584	0.057389520963322	0.354313342928873	0.729862806175474	0.125537944977433	0.729862806175474	0	ENSMUSG00000000902	Smarcb1	chr10
ENSMUSG00000000915	5.34662604817193	-0.384159006256515	-1.88203605000085	0.0867832251001632	3.54205969350279	0.0867832251001632	0	ENSMUSG00000000915	Hip1r	chr5
ENSMUSG00000000916	0.966150378031112	0.694962326378802	0.909324929561931	0.382843786237524	0.82687182752281	0.382843786237524	0	ENSMUSG00000000916	Nsun5	chr5
ENSMUSG00000000938	4.05254460148271	-0.38187602573611	-1.49688371891351	0.16280602114627	2.24066086794835	0.16280602114627	0	ENSMUSG00000000938	Hoxa10	chr6
ENSMUSG00000000942	0.506610934776232	0.494316626216546	0.594498913687184	0.564313601662279	0.353428958375242	0.564313601662279	0	ENSMUSG00000000942	Hoxa4	chr6
ENSMUSG00000000957	5.72818668997693	0.165018988066353	0.85154446450241	0.412783199281633	0.725127975024697	0.412783199281633	0	ENSMUSG00000000957	Mmp14	chr14
ENSMUSG00000000958	7.68484781652973	-0.167882815199945	-1.15279222799651	0.273648378109518	1.32892992092916	0.273648378109518	0	ENSMUSG00000000958	Slc7a7	chr14
ENSMUSG00000000959	3.16572442665029	-0.368820834830795	-1.08104602453777	0.303012775785759	1.16866050716891	0.303012775785759	0	ENSMUSG00000000959	Oxa1l	chr14
ENSMUSG00000000976	9.89798990719283	0.187785846618139	1.08013608020957	0.303400065558261	1.1666939517705	0.303400065558261	0	ENSMUSG00000000976	Heatr6	chr11
ENSMUSG00000000983	1.53066343391277	0.690385600064351	1.14451850596716	0.276917528064841	1.3099226105013	0.276917528064841	0	ENSMUSG00000000983	Wfdc18	chr11
ENSMUSG00000001016	6.51874590882308	-0.0378212616164149	-0.250476770003877	0.806876797803983	0.0627386123115751	0.806876797803983	0	ENSMUSG00000001016	Ilf2	chr3
ENSMUSG00000001017	5.8444872667376	0.0332082457672671	0.193440297946976	0.850171371637762	0.0374191488698147	0.850171371637762	0	ENSMUSG00000001017	Chtop	chr3
ENSMUSG00000001018	3.43199746958302	-0.337541771863667	-1.06823549068797	0.30849980060061	1.14112706356538	0.30849980060061	0	ENSMUSG00000001018	Snapin	chr3
ENSMUSG00000001020	3.90789980328699	-0.0661638391132122	-0.243026744346345	0.812497058686522	0.0590619984675838	0.812497058686522	0	ENSMUSG00000001020	S100a4	chr3
ENSMUSG00000001021	6.26048299010646	0.0411896056906418	0.227185643746147	0.824483871797785	0.0516133167243513	0.824483871797785	0	ENSMUSG00000001021	S100a3	chr3
ENSMUSG00000001023	1.06233330981688	-0.554370064883706	-0.831484041503031	0.423539970209915	0.691365711274214	0.423539970209915	0	ENSMUSG00000001023	S100a5	chr3
ENSMUSG00000001025	0.501457417125856	-1.1902961030302	-1.35444390612292	0.203003442647546	1.83451829483353	0.203003442647546	0	ENSMUSG00000001025	S100a6	chr3
ENSMUSG00000001027	7.08078937932509	-0.119371814247101	-0.803377206464508	0.438923685729886	0.645414935866717	0.438923685729886	0	ENSMUSG00000001027	Scn4a	chr11
ENSMUSG00000001029	3.97363111478759	-0.320683928320537	-1.01209706795091	0.333429611920098	1.02434047495484	0.333429611920098	0	ENSMUSG00000001029	Icam2	chr11
ENSMUSG00000001036	2.35286409015159	0.425894757965752	0.875381466739672	0.400243807905539	0.7662927123113	0.400243807905539	0	ENSMUSG00000001036	Epn2	chr11
ENSMUSG00000001052	0.939133541533721	0.396910983656511	0.514441767669452	0.61721206941552	0.264650332322871	0.61721206941552	0	ENSMUSG00000001052	Sec24b	chr3
ENSMUSG00000001053	-0.620245021721354	-1.26545965028423	-0.979477849700502	0.348581982063399	0.95937685805392	0.348581982063399	0	ENSMUSG00000001053	N4bp3	chr11
ENSMUSG00000001062	4.9166394453857	-0.150893106845608	-0.628621784985266	0.542544036393418	0.395165348558062	0.542544036393418	0	ENSMUSG00000001062	Vps9d1	chr8
ENSMUSG00000001065	3.35459425859873	-0.14923133620632	-0.422045205078258	0.681195548278436	0.178122155129549	0.681195548278436	0	ENSMUSG00000001065	Zfp276	chr8
ENSMUSG00000001076	1.64057148734008	-0.266505059314083	-0.415996036249087	0.685484949268277	0.173052702174952	0.685484949268277	0	ENSMUSG00000001076	C1ql4	chr15
ENSMUSG00000001082	2.40818558917074	0.0241099593472813	0.0463560151350803	0.963864832696371	0.00214888013920379	0.963864832696371	0	ENSMUSG00000001082	Mfsd10	chr5
ENSMUSG00000001089	3.66486636109778	0.151048245169362	0.443537929925281	0.666051193466177	0.196725895282404	0.666051193466177	0	ENSMUSG00000001089	Luzp1	chr4
ENSMUSG00000001095	6.63799763005782	0.0189466128035285	0.111277593419204	0.913418685826039	0.0123827027971696	0.913418685826039	0	ENSMUSG00000001095	Slc13a2	chr11
ENSMUSG00000001119	4.80625448382892	0.265737542093925	1.18320096223685	0.261891758421909	1.3999645170382	0.261891758421909	0	ENSMUSG00000001119	Col6a1	chr10
ENSMUSG00000001120	7.4145031941701	0.366011450007141	1.49309732688355	0.16377932596664	2.2293396275468	0.16377932596664	0	ENSMUSG00000001120	Pcbp3	chr10
ENSMUSG00000001127	6.5746371616565	-0.187411635956791	-1.01863605234274	0.330451287608119	1.03761940713241	0.330451287608119	0	ENSMUSG00000001127	Araf	chrX
ENSMUSG00000001134	-2.07893711079506	1.05108055357555	0.601085411692395	0.560074347358048	0.361303672149417	0.560074347358048	0	ENSMUSG00000001134	Uxt	chrX
ENSMUSG00000001138	5.60136555825824	-0.157651338468691	-0.902625155568481	0.386235729491513	0.814732171465025	0.386235729491513	0	ENSMUSG00000001138	Cnnm3	chr1
ENSMUSG00000001143	4.44238341589899	-0.0342740028962165	-0.10634694327244	0.917238938431784	0.0113096723433915	0.917238938431784	0	ENSMUSG00000001143	Lman2l	chr1
ENSMUSG00000001150	5.47596593943783	0.199533102863142	1.06640000315569	0.30929209156297	1.13720896673046	0.30929209156297	0	ENSMUSG00000001150	Mcm3ap	chr10
ENSMUSG00000001151	4.0112016166884	0.103412264477437	0.353217527435561	0.730661225767655	0.124762621687691	0.730661225767655	0	ENSMUSG00000001151	Pcnt	chr10
ENSMUSG00000001155	6.70555502266085	-0.0196669526834272	-0.120996096228021	0.905895604701652	0.0146400553024206	0.905895604701652	0	ENSMUSG00000001155	Ftcd	chr10
ENSMUSG00000001156	4.54596336698539	0.0188709704824097	0.074411772776182	0.942030696178449	0.00553711192769414	0.942030696178449	0	ENSMUSG00000001156	Mxd1	chr6
ENSMUSG00000001157	6.73851178704341	-0.0708679133361194	-0.435473046212526	0.671716178085081	0.189636773977617	0.671716178085081	0	ENSMUSG00000001157	Gmcl1	chr6
ENSMUSG00000001158	8.18214699953333	-0.0520512537660469	-0.33911779979419	0.740963850823169	0.115000882137253	0.740963850823169	0	ENSMUSG00000001158	Snrnp27	chr6
ENSMUSG00000001166	-0.729185332770034	0.285214113625134	0.237541756618159	0.816641991786532	0.0564260861372407	0.816641991786532	0	ENSMUSG00000001166	Oas1c	chr5
ENSMUSG00000001175	-2.25001581268859	-0.783437744519652	-0.432201899114321	0.6740200314574	0.186798481598026	0.6740200314574	0	ENSMUSG00000001175	Calm1	chr12
ENSMUSG00000001211	4.21653514750746	0.289154495215005	1.14816367676247	0.275473502994854	1.31827982863671	0.275473502994854	0	ENSMUSG00000001211	Agpat3	chr10
ENSMUSG00000001225	4.8964228605021	-0.267038298879341	-1.14568211861459	0.276455927043408	1.31258751691322	0.276455927043408	0	ENSMUSG00000001225	Slc26a3	chr12
ENSMUSG00000001227	7.5283296430112	0.137866979741178	0.891734169710173	0.391794188360435	0.795189829428692	0.391794188360435	0	ENSMUSG00000001227	Sema6b	chr17
ENSMUSG00000001228	6.77669798290339	-0.120483295669826	-0.729419527174235	0.481124785298848	0.532052846623085	0.481124785298848	0	ENSMUSG00000001228	Uhrf1	chr17
