ensembl_transcript_id	ensembl_gene_id	external_gene_name	chromosome_name	CHR	SYMBOL	ENSEMBL	logFC	logCPM	LR	PValue	FDR
ENSMUST00000165835	ENSMUSG00000022025	Cnmd	14	14	Cnmd	ENSMUSG00000022025	-3.81469381713142	1.48073726279097	19.5025545057342	1.00465239944992e-05	0.0066282703154011
ENSMUST00000086423	ENSMUSG00000066878	Kpna2rt	17	17	Kpna2rt	ENSMUSG00000066878	4.79702618701896	-1.49292176204089	18.8832955496496	1.38964213585731e-05	0.00865454446658801
ENSMUST00000018632	ENSMUSG00000057003	Myh4	11	11	Myh4	ENSMUSG00000057003	5.20253858029355	-1.36393858691846	18.8587185550291	1.40766223730376e-05	0.00865454446658801
ENSMUST00000103443	ENSMUSG00000096464	Ighv2-2	12	12	Ighv2-2	ENSMUSG00000096464	-1.24849246652929	4.06993799676935	18.8273159902029	1.43102884804873e-05	0.00865454446658801
ENSMUST00000082405	ENSMUSG00000064354	mt-Co2	MT	MT	mt-Co2	ENSMUSG00000064354	1.04977795782092	7.339850893592	18.7009662309849	1.52904986394918e-05	0.00899742530754096
ENSMUST00000112241	ENSMUSG00000042064	Myo3b	2	2	Myo3b	ENSMUSG00000042064	-2.48128419430202	0.387475428565278	18.5783229031479	1.63064284887423e-05	0.00928937899939607
ENSMUST00000164073	ENSMUSG00000067149	Jchain	5	5	Jchain	ENSMUSG00000067149	-1.82957831732225	9.4055434972202	18.5397242803241	1.66399862656828e-05	0.00928937899939607
ENSMUST00000193893	ENSMUSG00000094694	Ighv1-9	12	12	Ighv1-9	ENSMUSG00000094694	-4.17074276996588	7.42657065451452	18.2928167173644	1.89420080502391e-05	0.0103101349817452
ENSMUST00000074863	ENSMUSG00000061724	Gm2423	13	13	Gm2423	ENSMUSG00000061724	-7.81270523158827	-2.07153578008094	18.1499649594961	2.04173185251978e-05	0.0108420941202587
ENSMUST00000200884	ENSMUSG00000037379	Spon2	5	5	Spon2	ENSMUSG00000037379	1.03064655239869	3.82078549721041	17.7591143888864	2.50713483768058e-05	0.0128926620231707
ENSMUST00000086975	ENSMUSG00000049608	Gpr55	1	1	Gpr55	ENSMUSG00000049608	-2.08218099945034	2.73920284878119	17.6938588095726	2.59462925565093e-05	0.0128926620231707
ENSMUST00000113532	ENSMUSG00000055632	Hmcn2	2	2	Hmcn2	ENSMUSG00000055632	0.932311437383595	6.61663125228788	17.6858802859863	2.60553522423071e-05	0.0128926620231707
ENSMUST00000193950	ENSMUSG00000095923	Ighv1-37	12	12	Ighv1-37	ENSMUSG00000095923	-12.0517278718934	2.17925446892528	17.318792473447	3.16045857334867e-05	0.0152910009019883
ENSMUST00000142240	ENSMUSG00000087522	Gm371	X	X	Gm371	ENSMUSG00000087522	-5.09922343336656	-2.90288516416227	17.0893892915774	3.56609869358729e-05	0.0168785001645179
ENSMUST00000039987	ENSMUSG00000041272	Tox	4	4	Tox	ENSMUSG00000041272	-1.61043811750819	3.61132982421118	16.8627745781276	4.01819625475165e-05	0.01778411800397
ENSMUST00000033602	ENSMUSG00000031250	Tnmd	X	X	Tnmd	ENSMUSG00000031250	0.962503325552064	5.3728808304089	16.8527259369674	4.03952690793229e-05	0.01778411800397
ENSMUST00000140079	ENSMUSG00000033740	St18	1	1	St18	ENSMUSG00000033740	1.01020327211064	3.54188072784173	16.8398487868403	4.06702824118053e-05	0.01778411800397
ENSMUST00000224590	ENSMUSG00000114956	Gm47893	13	13	Gm47893	ENSMUSG00000114956	-8.56628825868298	-0.874920156130299	16.8238336460077	4.10149404766962e-05	0.01778411800397
ENSMUST00000057612	ENSMUSG00000035279	Ssc5d	7	7	Ssc5d	ENSMUSG00000035279	1.1174863973312	5.97827188929038	16.7942860123491	4.16585531050189e-05	0.01778411800397
ENSMUST00000006969	ENSMUSG00000006777	Krt23	11	11	Krt23	ENSMUSG00000006777	-6.40009122475591	-3.20476326396132	16.7157907675357	4.34181040302494e-05	0.0181788261720498
ENSMUST00000102976	ENSMUSG00000015619	Gata3	2	2	Gata3	ENSMUSG00000015619	-1.0245523474717	4.00141250162998	16.5599436224076	4.7136172675596e-05	0.0193631839904354
ENSMUST00000208959	ENSMUSG00000108975	Mlnr-ps	14	14	Mlnr-ps	ENSMUSG00000108975	4.92341439555404	-2.83268186452622	16.4804800530257	4.91535365810402e-05	0.0198179777489335
ENSMUST00000120025	ENSMUSG00000083672	Kpna2-ps	17	17	Kpna2-ps	ENSMUSG00000083672	7.32188773130359	-2.33566030344558	16.3294951456382	5.32289784215503e-05	0.0210709330580726
ENSMUST00000191089	ENSMUSG00000116347	Gm49416	19	19	Gm49416	ENSMUSG00000116347	-6.49802906614159	-3.1953618539397	15.8965261431709	6.69013998854309e-05	0.0258008344039981
ENSMUST00000220144	ENSMUSG00000112690	Gm2446	12	12	Gm2446	ENSMUSG00000112690	9.97034866252965	-0.0587530308324952	15.8783320282707	6.75476557517862e-05	0.0258008344039981
ENSMUST00000237355	ENSMUSG00000001700	Gramd2b	18	18	Gramd2b	ENSMUSG00000001700	-0.760096504513893	5.18109404187589	15.8300528634256	6.92931386795846e-05	0.026011210609171
ENSMUST00000103405	ENSMUSG00000076604	Igkj1	6	6	Igkj1	ENSMUSG00000076604	-2.01154457788864	0.740625990374945	15.7051007771972	7.40242779982249e-05	0.0273162132301246
ENSMUST00000194372	ENSMUSG00000102502	Ighv1-10	12	12	Ighv1-10	ENSMUSG00000102502	-7.86500485278196	-1.94106303799385	15.6516084125769	7.61477910363014e-05	0.0276314951073726
ENSMUST00000100322	ENSMUSG00000075478	Slitrk1	14	14	Slitrk1	ENSMUSG00000075478	2.08239325854264	-0.187758107419823	15.462094075299	8.41765667966162e-05	0.0300441346278021
ENSMUST00000183917	ENSMUSG00000093954	Gm16867	14	14	Gm16867	ENSMUSG00000093954	0.760939595332503	4.8219323611997	15.3115711083147	9.11564329057499e-05	0.0316011223620348
ENSMUST00000122422	ENSMUSG00000081094	Rpl19-ps11	8	8	Rpl19-ps11	ENSMUSG00000081094	-4.99086145997438	-0.617770295987215	15.3056667218835	9.14417926147435e-05	0.0316011223620348
ENSMUST00000103567	ENSMUSG00000076758	Trav1	14	14	Trav1	ENSMUSG00000076758	-6.08966174325009	-3.47299683729067	15.2238449267703	9.5490059831355e-05	0.0324845247288791
ENSMUST00000197686	ENSMUSG00000106582	Obox4-ps24	7	7	Obox4-ps24	ENSMUSG00000106582	-5.99420677132176	-3.54755774979696	15.0549632265444	0.000104425299251982	0.0346786473263941
ENSMUST00000194738	ENSMUSG00000095079	Igha	12	12	Igha	ENSMUSG00000095079	-0.94559349780939	10.6421791857286	15.042351121577	0.000105125423642385	0.0346786473263941
ENSMUST00000015664	ENSMUSG00000028111	Ctsk	3	3	Ctsk	ENSMUSG00000028111	0.723074651740592	8.57201716860602	14.9449310085404	0.000110695056714283	0.0359709369370651
ENSMUST00000214446	ENSMUSG00000046486	Or6k6	1	1	Or6k6	ENSMUSG00000046486	6.53222412116549	-3.01760634749565	14.8762671030324	0.000114798231838315	0.0367556926997618
ENSMUST00000103384	ENSMUSG00000076583	Igkv8-24	6	6	Igkv8-24	ENSMUSG00000076583	-5.01330392191453	4.1001278829956	14.8408102839265	0.000116976631877025	0.036910365640965
ENSMUST00000103372	ENSMUSG00000076571	Igkv5-37	6	6	Igkv5-37	ENSMUSG00000076571	-7.50354461001642	-1.87896777266215	14.6260947081665	0.000131086810985548	0.0407717435539622
ENSMUST00000179657	ENSMUSG00000096670	Ighv2-6	12	12	Ighv2-6	ENSMUSG00000096670	-5.4615688404037	0.788903230355319	14.5753899073083	0.000134661795449715	0.0412937550779041
ENSMUST00000196587	ENSMUSG00000094124	Ighv1-74	12	12	Ighv1-74	ENSMUSG00000094124	-2.72573688261528	3.13554469029546	14.457082984893	0.000143389608893587	0.0431886484624511
ENSMUST00000205142	ENSMUSG00000108212	Gm44132	6	6	Gm44132	ENSMUSG00000108212	-6.16460014764956	-3.4192915260293	14.4385370045176	0.000144808531037981	0.0431886484624511
ENSMUST00000027507	ENSMUSG00000026285	Pdcd1	1	1	Pdcd1	ENSMUSG00000026285	-2.21985280118446	2.48672604848313	14.3760082077122	0.000149697532346458	0.0437067685701377
ENSMUST00000114212	ENSMUSG00000079543	Igkv13-85	6	6	Igkv13-85	ENSMUSG00000079543	-4.85295885329616	2.08974598517385	14.365182435425	0.000150560703782855	0.0437067685701377
ENSMUST00000103532	ENSMUSG00000096767	Ighv1-62-3	12	12	Ighv1-62-3	ENSMUSG00000096767	-4.9912051414918	-2.62398773421187	14.2764871319354	0.000157824068303141	0.0452124423038945
ENSMUST00000206683	ENSMUSG00000108307	Ceacam-ps1	7	7	Ceacam-ps1	ENSMUSG00000108307	-6.45962898679994	-3.18327162529927	14.208767901761	0.000163606409532237	0.0462602434848814
ENSMUST00000103393	ENSMUSG00000094797	Igkv6-15	6	6	Igkv6-15	ENSMUSG00000094797	-3.99512300127283	5.44897714534402	14.1247443567985	0.000171078476834306	0.0475989650466739
ENSMUST00000084830	ENSMUSG00000066279	Chrna10	7	7	Chrna10	ENSMUSG00000066279	6.56811592332795	-3.08038946545023	14.1068518789934	0.000172713496173399	0.0475989650466739
ENSMUST00000030372	ENSMUSG00000028626	Col9a2	4	4	Col9a2	ENSMUSG00000028626	-2.31593713853201	2.68414397217734	14.0059027551287	0.000182237635163568	0.049595972409765
ENSMUST00000112771	ENSMUSG00000053268	Dspp	5	5	Dspp	ENSMUSG00000053268	1.95965491897123	-0.392063634098595	13.9718608469366	0.000185567230441569	0.049878638779924
ENSMUST00000133533	ENSMUSG00000029026	Trp73	4	4	Trp73	ENSMUSG00000029026	-2.64107280110402	-0.916025289772864	13.9436412929992	0.000188373759386714	0.0500155303581406
ENSMUST00000161002	ENSMUSG00000026247	Ecel1	1	1	Ecel1	ENSMUSG00000026247	-4.3122014393503	-1.15248891486519	13.7458027833973	0.000209287946182891	0.0548990019794446
ENSMUST00000103410	ENSMUSG00000076609	Igkc	6	6	Igkc	ENSMUSG00000076609	-2.12730038061601	12.0327287756704	13.6228963520743	0.000223443708427746	0.0579144811891534
ENSMUST00000027559	ENSMUSG00000026321	Tnfrsf11a	1	1	Tnfrsf11a	ENSMUSG00000026321	0.715370086589995	6.74811381292834	13.5844183856418	0.000228070771946885	0.0584183158450303
ENSMUST00000227396	ENSMUSG00000115070	Gm4740	15	15	Gm4740	ENSMUSG00000115070	-6.01487901311979	-3.49985753435388	13.5024006627123	0.00023825844924497	0.0603181739181567
ENSMUST00000141868	ENSMUSG00000000381	Wap	11	11	Wap	ENSMUSG00000000381	5.85485007098137	-3.54858811280903	13.4545977599152	0.000244406489366609	0.061163426281492
ENSMUST00000105286	ENSMUSG00000019932	Kera	10	10	Kera	ENSMUSG00000019932	1.09174189261847	5.30317490709364	13.3521468890016	0.000258126950897452	0.063862954260674
ENSMUST00000184843	ENSMUSG00000098832	Kdm4dl	9	9	Kdm4dl	ENSMUSG00000098832	-5.7041240378076	-3.68226769781589	13.2490824193898	0.000272713330152724	0.0667136474616304
ENSMUST00000061427	ENSMUSG00000043635	Adamts3	5	5	Adamts3	ENSMUSG00000043635	0.857291396329326	3.49186119020553	13.1699386806294	0.000284476046074365	0.0688179163903452
ENSMUST00000064783	ENSMUSG00000042436	Mfap4	11	11	Mfap4	ENSMUSG00000042436	0.621687447887367	5.23290307507835	13.0796658456256	0.000298518703089593	0.0712168871570551
ENSMUST00000053375	ENSMUSG00000050921	P2ry10	X	X	P2ry10	ENSMUSG00000050921	-1.018354253889	4.87998415566781	13.0645664522787	0.000300934852950995	0.0712168871570551
ENSMUST00000125484	ENSMUSG00000076671	Ighv13-2	12	12	Ighv13-2	ENSMUSG00000076671	-4.19637385530604	0.739890646278997	13.0161558130996	0.000308815103891721	0.0722959402358123
ENSMUST00000192499	ENSMUSG00000076668	Ighv7-4	12	12	Ighv7-4	ENSMUSG00000076668	-9.48364918332031	-0.273084543467861	12.9241992237135	0.00032436138557555	0.0749863372572222
ENSMUST00000098123	ENSMUSG00000073878	Ccl21f	4	4	Ccl21f	ENSMUSG00000073878	6.77229594735561	-2.76540654544833	12.907914949697	0.000327195574106013	0.0749863372572222
ENSMUST00000161971	ENSMUSG00000005763	Cd247	1	1	Cd247	ENSMUSG00000005763	-1.70467350268162	3.27234995424347	12.8682000223148	0.000334212911429989	0.0757967032047262
ENSMUST00000041407	ENSMUSG00000036169	Sostdc1	12	12	Sostdc1	ENSMUSG00000036169	-3.54216664835089	1.46020561703664	12.7911107044986	0.000348270281357474	0.0781705212960302
ENSMUST00000163843	ENSMUSG00000091462	Gm17084	13	13	Gm17084	ENSMUSG00000091462	6.5372570016271	-2.95926738013739	12.764982795632	0.000353168842283359	0.0782137831233398
ENSMUST00000229271	ENSMUSG00000034161	Scx	15	15	Scx	ENSMUSG00000034161	0.919611710521697	2.95474664636304	12.7328571072133	0.000359287251304164	0.0782137831233398
ENSMUST00000237172	ENSMUSG00000045903	Npas4	19	19	Npas4	ENSMUSG00000045903	-2.54136042980453	-0.708095957541139	12.7320218513822	0.000359447745625992	0.0782137831233398
ENSMUST00000178100	ENSMUSG00000105080	Trav7n-6	14	14	Trav7n-6	ENSMUSG00000105080	-5.74296695279879	-3.59859467924096	12.7144930592703	0.000362832633449261	0.0782137831233398
ENSMUST00000023616	ENSMUSG00000022899	Slc15a2	16	16	Slc15a2	ENSMUSG00000022899	0.761532827167909	4.72420033144161	12.6625823145845	0.00037304661165382	0.0787718585933632
ENSMUST00000132527	ENSMUSG00000027570	Col9a3	2	2	Col9a3	ENSMUSG00000027570	-1.69226831589378	2.14787984753564	12.6598713519184	0.000373587920685181	0.0787718585933632
ENSMUST00000027162	ENSMUSG00000026009	Icos	1	1	Icos	ENSMUSG00000026009	-1.26119035686467	3.60012986388473	12.646469215767	0.000376275642738829	0.0787718585933632
ENSMUST00000125685	ENSMUSG00000074071	Fam169b	7	7	Fam169b	ENSMUSG00000074071	-0.838454946299092	3.71587377305558	12.5594964127868	0.000394197962060367	0.0817378859997935
ENSMUST00000103404	ENSMUSG00000095682	Igkv3-1	6	6	Igkv3-1	ENSMUSG00000095682	-5.08320833943569	2.52844949653637	12.5326484409194	0.000399902578975074	0.0820034242916034
ENSMUST00000029865	ENSMUSG00000028211	Trp53inp1	4	4	Trp53inp1	ENSMUSG00000028211	-0.964305978743878	7.38026297468596	12.518178934826	0.0004030115009738	0.0820034242916034
ENSMUST00000180549	ENSMUSG00000094220	Trav6-3	14	14	Trav6-3	ENSMUSG00000094220	-3.81965123834624	-2.79559838218006	12.4994589719208	0.000407069885955387	0.0820622736761175
ENSMUST00000194865	ENSMUSG00000076709	Ighv1-47	12	12	Ighv1-47	ENSMUSG00000076709	-4.62310511473728	1.59281298167579	12.4304354613285	0.00042239340167973	0.0840382216032991
ENSMUST00000111557	ENSMUSG00000030313	Dennd5b	6	6	Dennd5b	ENSMUSG00000030313	-0.835152539642037	5.5769727660474	12.4207423901182	0.000424591419087034	0.0840382216032991
ENSMUST00000103141	ENSMUSG00000018168	Ikzf3	11	11	Ikzf3	ENSMUSG00000018168	-0.992314672208579	5.97330449182185	12.3153373688512	0.000449251503858271	0.0880988721598035
ENSMUST00000103154	ENSMUSG00000057058	Skap1	11	11	Skap1	ENSMUSG00000057058	-1.13326546002664	3.13387100529069	12.299003689032	0.00045320015073939	0.0880988721598035
ENSMUST00000203884	ENSMUSG00000035158	Mitf	6	6	Mitf	ENSMUSG00000035158	0.62891356333787	6.17161563690145	12.2583622538759	0.000463177838670925	0.0892416628632157
ENSMUST00000067240	ENSMUSG00000000409	Lck	4	4	Lck	ENSMUSG00000000409	-1.38644023746561	4.28473260108814	12.2384366597078	0.000468150371429324	0.0894085077785898
ENSMUST00000103541	ENSMUSG00000096074	Ighv1-72	12	12	Ighv1-72	ENSMUSG00000096074	-2.91302191825433	5.29269476947886	12.2007629892561	0.00047769974144992	0.090363454213755
ENSMUST00000235759	ENSMUSG00000118240	Gm1859	18	18	Gm1859	ENSMUSG00000118240	3.74699673360457	-2.75236638609921	12.186169553738	0.000481451437111684	0.090363454213755
ENSMUST00000234905	ENSMUSG00000075224	Lrrc55	2	2	Lrrc55	ENSMUSG00000075224	1.61206414445684	1.4339017014541	12.1391007250993	0.000493755791400733	0.0907638537762648
ENSMUST00000103314	ENSMUSG00000095497	Igkv1-122	6	6	Igkv1-122	ENSMUSG00000095497	-6.82992139501541	2.40873484527291	12.1387094696202	0.000493859389310013	0.0907638537762648
ENSMUST00000150897	ENSMUSG00000061356	Nuggc	14	14	Nuggc	ENSMUSG00000061356	-1.83716770922571	0.45229623572636	12.1303005326502	0.000496091245607914	0.0907638537762648
ENSMUST00000029611	ENSMUSG00000027985	Lef1	3	3	Lef1	ENSMUSG00000027985	-0.635239659424968	4.4581376656049	12.0932251334597	0.000506053639590668	0.0918149986764001
ENSMUST00000103671	ENSMUSG00000087666	Trav13-5	14	14	Trav13-5	ENSMUSG00000087666	-5.85342561631144	-3.6314494565328	12.0736265014979	0.000511401256238704	0.0920184144696617
ENSMUST00000111062	ENSMUSG00000094526	Gm21451	14	14	Gm21451	ENSMUSG00000094526	0.863322299451898	3.83106481338949	12.0406400547842	0.000520530949502731	0.0928934412506022
ENSMUST00000198182	ENSMUSG00000076937	Iglc2	16	16	Iglc2	ENSMUSG00000076937	-1.44277232785282	6.19819709220921	11.9098848565581	0.000558368514834353	0.0984008627275396
ENSMUST00000103728	ENSMUSG00000076916	Traj13	14	14	Traj13	ENSMUSG00000076916	-4.22366732798503	-3.07942209405287	11.9030164502912	0.000560431149100446	0.0984008627275396
ENSMUST00000103377	ENSMUSG00000076576	Igkv6-32	6	6	Igkv6-32	ENSMUSG00000076576	-5.49265076994987	3.08610994256661	11.8551077912166	0.000575034072001147	0.100157134524872
ENSMUST00000061456	ENSMUSG00000049314	Fbxw13	9	9	Fbxw13	ENSMUSG00000049314	5.9935621554416	-3.45815054823827	11.749295559386	0.000608662705270142	0.105173050945568
ENSMUST00000230021	ENSMUSG00000023484	Prph	15	15	Prph	ENSMUSG00000023484	1.47407042665768	1.30821129047677	11.7316988463884	0.000614444776889998	0.105336154979914
ENSMUST00000100089	ENSMUSG00000075334	Rprm	2	2	Rprm	ENSMUSG00000075334	1.98101335089802	-1.32043090505874	11.7087396294803	0.000622072393255585	0.105810626140317
ENSMUST00000195706	ENSMUSG00000076666	Ighv14-4	12	12	Ighv14-4	ENSMUSG00000076666	-3.99995678758536	4.40385284262198	11.6871324465429	0.000629338162109463	0.106216670274785
ENSMUST00000218775	ENSMUSG00000112423	Gm6333	10	10	Gm6333	ENSMUSG00000112423	4.58925348910034	-3.17023706326374	11.6523576178964	0.000641212187499102	0.107388244201773
ENSMUST00000164800	ENSMUSG00000031351	Zfp185	X	X	Zfp185	ENSMUSG00000031351	0.911573607936164	3.36207172932925	11.6374374967592	0.00064637585661774	0.1074266805365
ENSMUST00000103378	ENSMUSG00000076577	Igkv8-30	6	6	Igkv8-30	ENSMUSG00000076577	-2.00233862588917	3.17764215830749	11.5751360702519	0.000668395446767391	0.110244739901664
ENSMUST00000165003	ENSMUSG00000091923	Gm8267	14	14	Gm8267	ENSMUSG00000091923	4.3432330330034	-3.35211177010483	11.5278128480033	0.000685626307337843	0.112236511002703
ENSMUST00000222765	ENSMUSG00000113555	Gm10095	12	12	Gm10095	ENSMUSG00000113555	-6.96679425089506	-2.35200542566066	11.3412203422402	0.000758054939634679	0.122841979075037
ENSMUST00000122133	ENSMUSG00000081751	Gm14251	2	2	Gm14251	ENSMUSG00000081751	-3.54118803712073	-2.97976096880282	11.3323195201292	0.000761697004185649	0.122841979075037
ENSMUST00000249604	ENSMUSG00000094132	Gm3264	14	14	Gm3264	ENSMUSG00000094132	-1.59128052271263	-0.134723853869341	11.3143976710578	0.000769084052121405	0.123121308696965
ENSMUST00000113465	ENSMUSG00000023968	Crip3	17	17	Crip3	ENSMUSG00000023968	-5.8474380702464	-3.6026643924529	11.2925825919778	0.00077817358294947	0.123394679233624
ENSMUST00000027291	ENSMUSG00000026117	Zap70	1	1	Zap70	ENSMUSG00000026117	-1.55465022541237	3.0448061399118	11.2831748959265	0.000782126847980896	0.123394679233624
ENSMUST00000176650	ENSMUSG00000030017	Reg3g	6	6	Reg3g	ENSMUSG00000030017	4.11178697561589	-2.83306458097287	11.2435245515686	0.000799012835801104	0.124766132136069
ENSMUST00000047034	ENSMUSG00000015599	Ttbk1	17	17	Ttbk1	ENSMUSG00000015599	-1.34097828271826	2.17686536640407	11.2359487531933	0.000802280842322695	0.124766132136069
ENSMUST00000180658	ENSMUSG00000097012	Gm16531	10	10	Gm16531	ENSMUSG00000097012	5.99857237767706	-3.39872869259862	11.1960534214574	0.000819714884428275	0.125547023137272
ENSMUST00000057431	ENSMUSG00000078173	Lenep	3	3	Lenep	ENSMUSG00000078173	-7.15405260831234	-2.52718510992282	11.1864837163218	0.0008239534252372	0.125547023137272
ENSMUST00000228962	ENSMUSG00000037972	Snn	16	16	Snn	ENSMUSG00000037972	-0.711448191492481	4.84845369056352	11.1788132778741	0.00082736674496285	0.125547023137272
ENSMUST00000204036	ENSMUSG00000039264	Gimap3	6	6	Gimap3	ENSMUSG00000039264	-1.40434882148148	4.7186156357824	11.1720952907285	0.000830367964898361	0.125547023137272
