ensembl_transcript_id	ensembl_gene_id	external_gene_name	chromosome_name	CHR	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val
ENSMUST00000031249	ENSMUSG00000029309	Sparcl1	5	5	Sparcl1	ENSMUSG00000029309	-1.58268172634974	6.69512480201769	-11.6084514436019	4.77421239678948e-06	0.00649650951893128
ENSMUST00000020234	ENSMUSG00000020044	Timp3	10	10	Timp3	ENSMUSG00000020044	-1.3008781461031	8.54788347193796	-11.3697128278098	5.22270519891032e-06	0.00656143653263601
ENSMUST00000081654	ENSMUSG00000001435	Col18a1	10	10	Col18a1	ENSMUSG00000001435	-1.5394081259199	4.99458819342664	-11.2989837258041	5.70274416028924e-06	0.00656143653263601
ENSMUST00000037099	ENSMUSG00000037242	Clic4	4	4	Clic4	ENSMUSG00000037242	-1.12355322098585	8.48545294403865	-11.1507837633721	5.7260377604301e-06	0.00656143653263601
ENSMUST00000062356	ENSMUSG00000047945	Marcksl1	4	4	Marcksl1	ENSMUSG00000047945	-1.55122444543269	7.74035675126324	-11.157940546631	6.22618843892696e-06	0.00677782873461589
ENSMUST00000005532	ENSMUSG00000005397	Nid1	13	13	Nid1	ENSMUSG00000005397	-1.03952032264975	7.55754079270578	-10.8205228717577	6.87654042590159e-06	0.00701918871258702
ENSMUST00000001513	ENSMUSG00000001473	Tubb6	18	18	Tubb6	ENSMUSG00000001473	-1.38976326420251	6.39711106842228	-10.900067441719	7.09269482256634e-06	0.00701918871258702
ENSMUST00000064679	ENSMUSG00000052688	Rab7b	1	1	Rab7b	ENSMUSG00000052688	-1.31936947239173	6.45576914955771	-10.5737172951358	8.59984323410936e-06	0.00750959243378053
ENSMUST00000233564	ENSMUSG00000002668	Dennd1c	17	17	Dennd1c	ENSMUSG00000002668	1.04943548860193	5.61812357037709	10.4708192631769	8.62048807223227e-06	0.00750959243378053
ENSMUST00000048183	ENSMUSG00000041559	Fmod	1	1	Fmod	ENSMUSG00000041559	-2.10049949945497	9.45934970619779	-10.7529354188279	8.62299333292823e-06	0.00750959243378053
ENSMUST00000090287	ENSMUSG00000018830	Myh11	16	16	Myh11	ENSMUSG00000018830	-2.52649441590604	3.44816025941168	-10.7406888223593	9.03679106341368e-06	0.00752679640097992
ENSMUST00000033136	ENSMUSG00000030847	Bag3	7	7	Bag3	ENSMUSG00000030847	-1.11204752296232	6.69609826331579	-10.3400176195424	9.54263497717756e-06	0.00752679640097992
ENSMUST00000201176	ENSMUSG00000034855	Cxcl10	5	5	Cxcl10	ENSMUSG00000034855	-2.24963855796733	6.46174892753013	-10.5950165514584	9.6798777892448e-06	0.00752679640097992
ENSMUST00000078869	ENSMUSG00000071177	Serpina1d	12	12	Serpina1d	ENSMUSG00000071177	3.61581547608335	-1.91631412623366	10.6752245156634	1.00341606848006e-05	0.00753323263549925
ENSMUST00000078482	ENSMUSG00000036862	Dchs1	7	7	Dchs1	ENSMUSG00000036862	-1.34402604837667	5.74290429367917	-10.2599955410256	1.06029793759797e-05	0.00769493556579437
ENSMUST00000017153	ENSMUSG00000017009	Sdc4	2	2	Sdc4	ENSMUSG00000017009	-1.59048243451045	7.71609815556109	-10.091345476352	1.24036706145253e-05	0.00823909781313455
ENSMUST00000106911	ENSMUSG00000028525	Pde4b	4	4	Pde4b	ENSMUSG00000028525	-1.19901820976582	7.71988784527797	-9.97558884174197	1.24248586361281e-05	0.00823909781313455
ENSMUST00000105286	ENSMUSG00000019932	Kera	10	10	Kera	ENSMUSG00000019932	-3.63852631027978	4.48477598788266	-10.3144906512001	1.26796147327466e-05	0.00823909781313455
ENSMUST00000102824	ENSMUSG00000034459	Ifit1	19	19	Ifit1	ENSMUSG00000034459	-2.06278191933267	4.6885953456207	-10.0745540883779	1.33587897645639e-05	0.00823909781313455
ENSMUST00000089688	ENSMUSG00000000957	Mmp14	14	14	Mmp14	ENSMUSG00000000957	-0.994902207811066	8.07587839294207	-9.75802941607248	1.36782982954263e-05	0.00823909781313455
ENSMUST00000076095	ENSMUSG00000025856	Pdgfa	5	5	Pdgfa	ENSMUSG00000025856	-1.38438560357137	4.4451011380282	-9.8652742590684	1.3934093843153e-05	0.00823909781313455
ENSMUST00000001008	ENSMUSG00000000982	Ccl3	11	11	Ccl3	ENSMUSG00000000982	-1.72379312545945	7.91420386142261	-9.94179606918311	1.40017737959755e-05	0.00823909781313455
ENSMUST00000012281	ENSMUSG00000032179	Bmp5	9	9	Bmp5	ENSMUSG00000032179	-1.23787487910851	5.04154298414929	-9.61628414178993	1.60515052095922e-05	0.00899879517002207
ENSMUST00000198184	ENSMUSG00000076594	Igkv6-13	6	6	Igkv6-13	ENSMUSG00000076594	6.60954751001353	-1.00583601882939	10.0164632634606	1.66053054074173e-05	0.00899879517002207
ENSMUST00000039559	ENSMUSG00000040152	Thbs1	2	2	Thbs1	ENSMUSG00000040152	-1.83484583789654	10.67645217636	-9.70582615193176	1.67151230122178e-05	0.00899879517002207
ENSMUST00000035101	ENSMUSG00000032515	Csrnp1	9	9	Csrnp1	ENSMUSG00000032515	-1.11552829964563	7.94453847542081	-9.45977573242735	1.7406939372924e-05	0.00899879517002207
ENSMUST00000213645	ENSMUSG00000035164	Zc3h12c	9	9	Zc3h12c	ENSMUSG00000035164	-1.25660676659752	5.98919514583506	-9.49210935207066	1.7589566581299e-05	0.00899879517002207
ENSMUST00000029266	ENSMUSG00000027712	Anxa5	3	3	Anxa5	ENSMUSG00000027712	-0.915847102736027	7.9008700352181	-9.33529163088633	1.79940230623371e-05	0.00899879517002207
ENSMUST00000029773	ENSMUSG00000053931	Cnn3	3	3	Cnn3	ENSMUSG00000053931	-1.18115681014246	6.32739731513071	-9.40181564928696	1.84337310835888e-05	0.00899879517002207
ENSMUST00000056427	ENSMUSG00000058672	Tubb2a	13	13	Tubb2a	ENSMUSG00000058672	-0.972253771665074	5.73464963562927	-9.2591215418469	1.93307445365962e-05	0.00899879517002207
ENSMUST00000209155	ENSMUSG00000030862	Cpxm2	7	7	Cpxm2	ENSMUSG00000030862	-2.42138273859645	5.41276022580786	-9.5004795035043	2.0524824551401e-05	0.00899879517002207
ENSMUST00000029623	ENSMUSG00000027995	Tlr2	3	3	Tlr2	ENSMUSG00000027995	-1.05346890135903	7.47642558158917	-9.18728836491037	2.08319926738181e-05	0.00899879517002207
ENSMUST00000102881	ENSMUSG00000020120	Plek	11	11	Plek	ENSMUSG00000020120	-1.07752206374333	9.30861132112736	-9.18930229740741	2.093480743616e-05	0.00899879517002207
ENSMUST00000034231	ENSMUSG00000031779	Ccl22	8	8	Ccl22	ENSMUSG00000031779	-2.51616232133606	3.56474147859852	-9.4723977754224	2.10986883796145e-05	0.00899879517002207
ENSMUST00000032264	ENSMUSG00000030161	Gabarapl1	6	6	Gabarapl1	ENSMUSG00000030161	-0.923843360049138	6.0222969682226	-9.0997238438713	2.14004238883607e-05	0.00899879517002207
ENSMUST00000068291	ENSMUSG00000067235	H2-Q10	17	17	H2-Q10	ENSMUSG00000067235	0.963595360729325	5.24613786067344	9.10818769073443	2.15215447819058e-05	0.00899879517002207
ENSMUST00000176204	ENSMUSG00000092035	Peg10	6	6	Peg10	ENSMUSG00000092035	-1.57885086836282	3.8954213733566	-9.28842694175609	2.162735586971e-05	0.00899879517002207
ENSMUST00000060013	ENSMUSG00000048621	Gm6377	X	X	Gm6377	ENSMUSG00000048621	-1.36198680804252	6.0182172211888	-9.21666598702135	2.19059408419608e-05	0.00899879517002207
ENSMUST00000047356	ENSMUSG00000038539	Atf5	7	7	Atf5	ENSMUSG00000038539	-1.20171893791846	5.33168024363115	-9.13223049600907	2.25056870331956e-05	0.00907395959419878
ENSMUST00000079476	ENSMUSG00000032691	Nlrp3	11	11	Nlrp3	ENSMUSG00000032691	-1.42198014782102	7.86237159939533	-9.08105251391629	2.446973067951e-05	0.0091883702568727
ENSMUST00000173230	ENSMUSG00000042688	Mapk6	9	9	Mapk6	ENSMUSG00000042688	-0.930715585046135	7.72290740641145	-8.90465431043498	2.47785671654231e-05	0.0091883702568727
ENSMUST00000022986	ENSMUSG00000022358	Fbxo32	15	15	Fbxo32	ENSMUSG00000022358	-0.981883084128561	5.50772877403062	-8.91956581086869	2.48766547113312e-05	0.0091883702568727
ENSMUST00000114487	ENSMUSG00000026981	Il1rn	2	2	Il1rn	ENSMUSG00000026981	-1.62313550237704	6.86784293195543	-9.09029476221192	2.51582904866997e-05	0.0091883702568727
ENSMUST00000033898	ENSMUSG00000031502	Col4a1	8	8	Col4a1	ENSMUSG00000031502	-0.902735858205216	8.07073207748546	-8.86899541677542	2.52323881060985e-05	0.0091883702568727
ENSMUST00000191837	ENSMUSG00000029108	Pcdh7	5	5	Pcdh7	ENSMUSG00000029108	-0.990452985585468	5.35179706251255	-8.89913476777218	2.53216156261419e-05	0.0091883702568727
ENSMUST00000114613	ENSMUSG00000036172	Cd200r3	16	16	Cd200r3	ENSMUSG00000036172	1.55001583612179	2.89130300105838	8.94072200591228	2.7771396323117e-05	0.00981579717681333
ENSMUST00000039490	ENSMUSG00000035678	Tnfsf9	17	17	Tnfsf9	ENSMUSG00000035678	-1.42464847379201	4.61553759705726	-8.90228358578309	2.79523895352943e-05	0.00981579717681333
ENSMUST00000115289	ENSMUSG00000043421	Hilpda	6	6	Hilpda	ENSMUSG00000043421	-1.61688395885364	5.28598827257323	-8.91361533240173	2.86476105527858e-05	0.00985077691948695
ENSMUST00000059193	ENSMUSG00000048376	F2r	13	13	F2r	ENSMUSG00000048376	-1.05976864047953	5.93981818318099	-8.74658753587409	2.89569044114994e-05	0.00985077691948695
ENSMUST00000008528	ENSMUSG00000008384	Sertad1	7	7	Sertad1	ENSMUSG00000008384	-0.93056358214988	5.55534716178475	-8.64944259171881	3.00586666758612e-05	0.00992085068797995
ENSMUST00000169437	ENSMUSG00000070436	Serpinh1	7	7	Serpinh1	ENSMUSG00000070436	-1.38454226510971	7.85132575644823	-8.78310154411447	3.03409671744739e-05	0.00992085068797995
ENSMUST00000072876	ENSMUSG00000066366	Serpina1a	12	12	Serpina1a	ENSMUSG00000066366	3.73759216776689	-1.34838622672456	9.05490942668394	3.05299006106309e-05	0.00992085068797995
ENSMUST00000179505	ENSMUSG00000095041		JH584304.1	JH584304.1		ENSMUSG00000095041	0.8783454605039	7.17233354571508	8.44419845803701	3.46717503393724e-05	0.0111010786527767
ENSMUST00000249387	ENSMUSG00000091756	Gm3095	14	14	Gm3095	ENSMUSG00000091756	1.35999636325304	3.34778211075464	8.56912134882776	3.55629429343012e-05	0.0111444792564413
ENSMUST00000200681	ENSMUSG00000058427	Cxcl2	5	5	Cxcl2	ENSMUSG00000058427	-1.51058393839492	8.34208435010757	-8.59562922921108	3.58310466631862e-05	0.0111444792564413
ENSMUST00000019683	ENSMUSG00000019539	Rcn3	7	7	Rcn3	ENSMUSG00000019539	-1.16360394167644	6.27431572623798	-8.48212436218436	3.64415683063515e-05	0.0111747299319139
ENSMUST00000135803	ENSMUSG00000026821	Ralgds	2	2	Ralgds	ENSMUSG00000026821	-1.08544620111119	6.67569493915697	-8.43436067395768	3.70926708128739e-05	0.0112164115130263
ENSMUST00000041550	ENSMUSG00000040950	Mgl2	11	11	Mgl2	ENSMUSG00000040950	-0.972405161904773	5.56697099267227	-8.35453614337053	3.82836567348156e-05	0.011221036314962
ENSMUST00000229585	ENSMUSG00000079022	Col22a1	15	15	Col22a1	ENSMUSG00000079022	-2.02759442137121	6.09998204062033	-8.60153951110673	3.83274498852372e-05	0.011221036314962
ENSMUST00000032216	ENSMUSG00000030122	Ptms	6	6	Ptms	ENSMUSG00000030122	-0.827919614948049	7.79952367675491	-8.28558406890785	3.86541302416934e-05	0.011221036314962
ENSMUST00000039480	ENSMUSG00000035671	Zswim4	8	8	Zswim4	ENSMUSG00000035671	-1.04291186857951	6.47426285526871	-8.34129832598553	3.94619770591277e-05	0.0113048179543596
ENSMUST00000168461	ENSMUSG00000028793	Rnf19b	4	4	Rnf19b	ENSMUSG00000028793	-1.04460713210239	7.70328981262353	-8.31038279233111	4.04588432696482e-05	0.0113288450659588
ENSMUST00000031565	ENSMUSG00000029581	Fscn1	5	5	Fscn1	ENSMUSG00000029581	-0.98590165813795	5.27793364480091	-8.28575324798691	4.05865292644123e-05	0.0113288450659588
ENSMUST00000175916	ENSMUSG00000010175	Prox1	1	1	Prox1	ENSMUSG00000010175	-2.33283618373528	2.61291840673179	-8.53986042494718	4.14359460543422e-05	0.0114195369303182
ENSMUST00000050770	ENSMUSG00000049130	C5ar1	7	7	C5ar1	ENSMUSG00000049130	-0.794000720665026	7.19141467057755	-8.1456483760872	4.27461631073078e-05	0.011489757952658
ENSMUST00000058845	ENSMUSG00000045763	Basp1	15	15	Basp1	ENSMUSG00000045763	-1.44144539744125	6.00515232853486	-8.35005723437857	4.28668061688484e-05	0.011489757952658
ENSMUST00000105401	ENSMUSG00000009292	Trpm2	10	10	Trpm2	ENSMUSG00000009292	1.04032483413377	6.18891669146282	8.22449879196633	4.32739368049768e-05	0.011489757952658
ENSMUST00000233506	ENSMUSG00000117310	Ptp4a1	1	1	Ptp4a1	ENSMUSG00000117310	-1.00507665962177	8.0612548397513	-8.18751678202549	4.41422402956494e-05	0.0115790946471913
ENSMUST00000137751	ENSMUSG00000032802	Srxn1	2	2	Srxn1	ENSMUSG00000032802	-1.52948700286124	4.95382670155344	-8.31571794414195	4.4739152165193e-05	0.0115959621540545
ENSMUST00000021413	ENSMUSG00000021025	Nfkbia	12	12	Nfkbia	ENSMUSG00000021025	-1.18569882703079	9.12376045536756	-8.16878606176007	4.69560333762203e-05	0.0117485804171047
ENSMUST00000079205	ENSMUSG00000032997	Chpf	1	1	Chpf	ENSMUSG00000032997	-1.22514718119801	4.96578746768237	-8.16898253731188	4.73796576311079e-05	0.0117485804171047
ENSMUST00000087723	ENSMUSG00000038146	Notch3	17	17	Notch3	ENSMUSG00000038146	-0.891226416248686	6.15365866448091	-8.05752921744826	4.73968101337611e-05	0.0117485804171047
ENSMUST00000191899	ENSMUSG00000039952	Dag1	9	9	Dag1	ENSMUSG00000039952	-0.941232493912981	7.28985472074895	-8.07411106359874	4.74864540099765e-05	0.0117485804171047
ENSMUST00000032342	ENSMUSG00000030218	Mgp	6	6	Mgp	ENSMUSG00000030218	-1.15976455877166	6.93831402216352	-8.11163817600569	4.88688917758751e-05	0.0119547585589253
ENSMUST00000041388	ENSMUSG00000037411	Serpine1	5	5	Serpine1	ENSMUSG00000037411	-1.43025211094042	6.47165254627377	-8.15276577643358	5.00725538003944e-05	0.0121131071260243
ENSMUST00000221761	ENSMUSG00000020644	Id2	12	12	Id2	ENSMUSG00000020644	-0.896458067278417	7.1764687114165	-7.95813674294961	5.14968436448564e-05	0.0123207613168771
ENSMUST00000232979	ENSMUSG00000023067	Cdkn1a	17	17	Cdkn1a	ENSMUSG00000023067	-1.13483972528331	7.33321382767541	-7.97328037451426	5.43724746658597e-05	0.0127749636082456
ENSMUST00000167912	ENSMUSG00000037664	Cdkn1c	7	7	Cdkn1c	ENSMUSG00000037664	-1.06750817959756	4.90273735408073	-7.93289938882127	5.52455548985155e-05	0.0127749636082456
ENSMUST00000086833	ENSMUSG00000029304	Spp1	5	5	Spp1	ENSMUSG00000029304	-1.38201932213105	9.04469099218481	-8.0191576347608	5.52985137871204e-05	0.0127749636082456
ENSMUST00000033602	ENSMUSG00000031250	Tnmd	X	X	Tnmd	ENSMUSG00000031250	-2.47161269002155	4.90670081614547	-8.17857992231471	5.57423085974341e-05	0.0127749636082456
ENSMUST00000101655	ENSMUSG00000023764	Sfi1	11	11	Sfi1	ENSMUSG00000023764	1.00896640573431	5.65206081990368	7.86263009612448	5.76241458716489e-05	0.0129587846513747
ENSMUST00000070132	ENSMUSG00000056174	Col8a2	4	4	Col8a2	ENSMUSG00000056174	-1.93175838971363	5.91610600243086	-8.06091837853232	5.81406350036943e-05	0.0129587846513747
ENSMUST00000001672	ENSMUSG00000001627	Ifrd1	12	12	Ifrd1	ENSMUSG00000001627	-0.912814560009926	9.17238813583095	-7.80162478956305	5.89331015425684e-05	0.0129587846513747
ENSMUST00000031540	ENSMUSG00000041827	Oasl1	5	5	Oasl1	ENSMUSG00000041827	-2.19946047739409	5.09738469256906	-8.07564381931514	5.91330909380027e-05	0.0129587846513747
ENSMUST00000024660	ENSMUSG00000023886	Smoc2	17	17	Smoc2	ENSMUSG00000023886	-1.50541148537924	6.16919758795899	-7.95708983324738	5.95204145295548e-05	0.0129587846513747
ENSMUST00000021822	ENSMUSG00000021390	Ogn	13	13	Ogn	ENSMUSG00000021390	-1.66534703708716	7.48991261536396	-7.97526940562771	6.01690894032033e-05	0.0129703110345202
ENSMUST00000102864	ENSMUSG00000020275	Rel	11	11	Rel	ENSMUSG00000020275	-0.854914077504524	8.34540402256929	-7.6827654802593	6.39454820636459e-05	0.0136492258381343
ENSMUST00000169534	ENSMUSG00000054892	Txk	5	5	Txk	ENSMUSG00000054892	1.14350287559723	3.35530425554159	7.73136764864108	6.66374609325732e-05	0.0140857359167377
ENSMUST00000057054	ENSMUSG00000001493	Meox1	11	11	Meox1	ENSMUSG00000001493	-2.42173817293044	3.12575705086391	-7.90944382574213	6.91184996800975e-05	0.0144628772317608
ENSMUST00000204026	ENSMUSG00000030276	Ttll3	6	6	Ttll3	ENSMUSG00000030276	1.58029846635491	3.27832635629281	7.77452479277808	7.01388630802429e-05	0.0144628772317608
ENSMUST00000000287	ENSMUSG00000000278	Scpep1	11	11	Scpep1	ENSMUSG00000000278	-0.790625904389473	6.47088396065427	-7.53224456992295	7.1160878614714e-05	0.0144628772317608
ENSMUST00000033965	ENSMUSG00000031561	Tenm3	8	8	Tenm3	ENSMUSG00000031561	-1.42162048179925	5.58982776141463	-7.71661336414778	7.16349027629067e-05	0.0144628772317608
ENSMUST00000108858	ENSMUSG00000018593	Sparc	11	11	Sparc	ENSMUSG00000018593	-1.35844537823676	10.7234279483235	-7.70038228515237	7.17430985224216e-05	0.0144628772317608
ENSMUST00000118470	ENSMUSG00000027660	Skil	3	3	Skil	ENSMUSG00000027660	-0.872455472599555	8.53805936222609	-7.53847040816308	7.27358463820465e-05	0.0145284848388066
ENSMUST00000103122	ENSMUSG00000037820	Tgm2	2	2	Tgm2	ENSMUSG00000037820	-1.15125511113163	7.46632976468173	-7.60314244567522	7.44381188491033e-05	0.0147035106201079
ENSMUST00000023143	ENSMUSG00000022500	Litaf	16	16	Litaf	ENSMUSG00000022500	-0.923423539306929	7.97040941539632	-7.52202561893802	7.4962781500642e-05	0.0147035106201079
ENSMUST00000109221	ENSMUSG00000017929	B4galt5	2	2	B4galt5	ENSMUSG00000017929	-0.971343177335817	6.89413310322174	-7.52599957738805	7.57869863581158e-05	0.0147324488124009
ENSMUST00000183414	ENSMUSG00000053541	Gvin-ps6	7	7	Gvin-ps6	ENSMUSG00000053541	1.42821079844924	4.6169061702152	7.63703332376059	7.67271164929385e-05	0.0147832104449934
ENSMUST00000180200	ENSMUSG00000049871	Nlrc3	16	16	Nlrc3	ENSMUSG00000049871	1.09669873527059	3.56642412382745	7.53410279516511	7.79024830921157e-05	0.0148221281342467
ENSMUST00000016672	ENSMUSG00000016528	Mapkapk2	1	1	Mapkapk2	ENSMUSG00000016528	-0.81569334421804	8.05676446470995	-7.43174553495827	7.82906823184992e-05	0.0148221281342467
ENSMUST00000084500	ENSMUSG00000030934	Oat	7	7	Oat	ENSMUSG00000030934	-0.734422842881345	6.52205891546268	-7.36074149262594	8.09682922097191e-05	0.0151969108447414
ENSMUST00000098066	ENSMUSG00000089945	Pakap	4	4	Pakap	ENSMUSG00000089945	-1.34343403343969	3.78603113547721	-7.53992987453372	8.20151548211423e-05	0.0152618286390249
ENSMUST00000026703	ENSMUSG00000025612	Bach1	16	16	Bach1	ENSMUSG00000025612	-0.850489143236038	7.69852047205901	-7.37218829140595	8.34289713230205e-05	0.015393352234278
ENSMUST00000110731	ENSMUSG00000079111	Kdelr2	5	5	Kdelr2	ENSMUSG00000079111	-0.805540139924101	6.78361980770781	-7.31302500312791	8.65669589998865e-05	0.0157391770203549
ENSMUST00000136366	ENSMUSG00000056290	Ms4a4b	19	19	Ms4a4b	ENSMUSG00000056290	1.34628061859583	4.34088870167072	7.47558064272227	8.67490925244619e-05	0.0157391770203549
ENSMUST00000109095	ENSMUSG00000027523	Gnas	2	2	Gnas	ENSMUSG00000027523	-0.765011092110747	9.26176435993678	-7.24355432492025	9.07675691972761e-05	0.0161120567363837
ENSMUST00000132583	ENSMUSG00000031825	Crispld2	8	8	Crispld2	ENSMUSG00000031825	-1.04126577783172	6.73157110884704	-7.33860561008864	9.09944249138355e-05	0.0161120567363837
ENSMUST00000003808	ENSMUSG00000038508	Gdf15	8	8	Gdf15	ENSMUSG00000038508	-1.84338141182986	5.99680603569002	-7.51248979424794	9.1024388139592e-05	0.0161120567363837
ENSMUST00000000193	ENSMUSG00000035385	Ccl2	11	11	Ccl2	ENSMUSG00000035385	-1.87162719730729	6.46656433783264	-7.50285338413808	9.21126945835683e-05	0.0161732063425278
ENSMUST00000028612	ENSMUSG00000027188	Pamr1	2	2	Pamr1	ENSMUSG00000027188	-1.43439534890492	4.57540273646437	-7.40743378362756	9.36211822193915e-05	0.0163037548779224
ENSMUST00000025684	ENSMUSG00000024772	Ehd1	19	19	Ehd1	ENSMUSG00000024772	-1.01426462211657	7.9120586130233	-7.28899941435005	9.43539001753732e-05	0.0163037548779224
ENSMUST00000099374	ENSMUSG00000074802	Gas2l3	10	10	Gas2l3	ENSMUSG00000074802	-0.939444794278001	6.74714223749604	-7.22208774440916	9.79642636914482e-05	0.0167943145597654
ENSMUST00000114458	ENSMUSG00000035356	Nfkbiz	16	16	Nfkbiz	ENSMUSG00000035356	-0.783108387345418	9.02654273602882	-7.14652237873074	9.96092911115529e-05	0.0169429178600057
ENSMUST00000089510	ENSMUSG00000068267	Cenpb	2	2	Cenpb	ENSMUSG00000068267	-0.727568713163969	6.78656730873219	-7.08192550535399	0.000103510785401315	0.0174700528663367
ENSMUST00000169735	ENSMUSG00000025318	Jph3	8	8	Jph3	ENSMUSG00000025318	1.59117437436655	2.95339185557385	7.30693130686036	0.000105039445585319	0.0175916831483352
ENSMUST00000025295	ENSMUSG00000024427	Spry4	18	18	Spry4	ENSMUSG00000024427	-1.19824937797389	4.35229537611036	-7.19628886471259	0.000107404900079085	0.0178505304161973
ENSMUST00000036188	ENSMUSG00000042677	Zc3h12a	4	4	Zc3h12a	ENSMUSG00000042677	-0.825416476048543	6.95540811545448	-7.04864119033002	0.000110397792441244	0.0182089449775058
ENSMUST00000018880	ENSMUSG00000018736	Ndel1	11	11	Ndel1	ENSMUSG00000018736	-0.73719008933615	7.16372223316413	-6.98676368708452	0.000113252345145507	0.0185393237481803
ENSMUST00000186978	ENSMUSG00000024680	Ms4a2	19	19	Ms4a2	ENSMUSG00000024680	1.47552109030839	2.73505945572235	7.16480875285699	0.000116891656895205	0.0189922772680777
ENSMUST00000022916	ENSMUSG00000022305	Lrp12	15	15	Lrp12	ENSMUSG00000022305	-0.967772024179681	4.29259998051992	-6.98103703122985	0.000122811729057559	0.0193074968731337
ENSMUST00000057921	ENSMUSG00000062421	Arf2	11	11	Arf2	ENSMUSG00000062421	-0.774277021619365	5.3352243620781	-6.91094855635788	0.000123027477526146	0.0193074968731337
ENSMUST00000191801	ENSMUSG00000102888	Ighv1-11	12	12	Ighv1-11	ENSMUSG00000102888	4.88602956650199	-0.750163425010187	7.35768386150918	0.000123186006485321	0.0193074968731337
ENSMUST00000030398	ENSMUSG00000028645	Slc2a1	4	4	Slc2a1	ENSMUSG00000028645	-0.911370055506409	5.62952470492013	-6.95775755100346	0.000123332577650969	0.0193074968731337
ENSMUST00000047923	ENSMUSG00000039234	Sec24d	3	3	Sec24d	ENSMUSG00000039234	-0.728268428059439	6.47393135799226	-6.87980050904192	0.000124546873045132	0.0193074968731337
ENSMUST00000097014	ENSMUSG00000072235	Tuba1a	15	15	Tuba1a	ENSMUSG00000072235	-0.928399288044573	6.98115921053104	-6.94636048118739	0.000125287117454568	0.0193074968731337
ENSMUST00000034590	ENSMUSG00000032085	Tagln	9	9	Tagln	ENSMUSG00000032085	-1.30878817126745	4.26862502732562	-7.03880141796914	0.000126837948117538	0.0193074968731337
ENSMUST00000088552	ENSMUSG00000067818	Myl9	2	2	Myl9	ENSMUSG00000067818	-2.15887115867907	3.63917489411891	-7.17311502939597	0.0001270635630724	0.0193074968731337
ENSMUST00000186279	ENSMUSG00000019899	Lama2	10	10	Lama2	ENSMUSG00000019899	-1.10556136641955	6.35493184874817	-6.97188608772907	0.00012863029003591	0.0193074968731337
